gamma_LMI,h
2.0388952881671347,0.01
2.0778087761218487,0.02
2.116929044282949,0.03
2.156725728595182,0.04
2.1965590486704243,0.05
2.2368286348609994,0.060000000000000005
2.27701738841785,0.06999999999999999
2.316904603026181,0.08
2.3569618031623807,0.09
2.3961601320258596,0.09999999999999999
2.4374400452145983,0.11
2.477673632172133,0.12
2.5178202433054677,0.13
2.5571449621671833,0.14
2.597384142401862,0.15000000000000002
2.6380925493665925,0.16
2.67784034511123,0.17
2.7169579747982913,0.18000000000000002
2.7565622958741827,0.19
2.7973533526546426,0.2
2.837248342505479,0.21000000000000002
2.8759642762373243,0.22
2.915891744570946,0.23
2.9547044054612672,0.24000000000000002
2.9944267055897127,0.25
3.0345330037639306,0.26
3.0721965765282566,0.27
3.1110513238992126,0.28
3.150749812354771,0.29000000000000004
3.1902252086979703,0.3
3.2287454517152563,0.31
3.2645130411141956,0.32
3.304544248305695,0.33
3.342851297257054,0.34
3.3814241304486448,0.35000000000000003
3.4186550680733814,0.36000000000000004
3.456986739871394,0.37
3.4947390049402833,0.38
3.5310872785535254,0.39
3.5685818016146245,0.4
3.603463313935689,0.41000000000000003
3.64290092225729,0.42000000000000004
3.676581734127999,0.43
3.714040794503845,0.44
3.7515093669404784,0.45
3.786914884016424,0.46
3.8224633328031707,0.47000000000000003
3.857056878827833,0.48000000000000004
3.8943390235113764,0.49
3.929401821806686,0.5
3.966388960790521,0.51
4.000680576373915,0.52
4.03463303713571,0.53
4.072356138191927,0.54
4.103381917164257,0.55
4.140973623148687,0.56
4.173360606638537,0.5700000000000001
4.207404923222641,0.5800000000000001
4.242416713785426,0.59
4.276651140110616,0.6
4.310057469947441,0.61
4.345262151432839,0.62
4.377884859210435,0.63
4.40961111065648,0.64
4.4429490600717685,0.65
4.4732867371850435,0.66
4.509566141795579,0.67
4.543696322147733,0.68
4.5705583133073375,0.6900000000000001
4.606200746731591,0.7000000000000001
4.6371215563489505,0.7100000000000001
4.668814234314483,0.72
4.697971610693661,0.73
4.7324719082154845,0.74
4.767117375531453,0.75
4.792888115426003,0.76
4.827010064864194,0.77
4.858955259409019,0.78
4.8923450636526,0.79
4.9228841221633655,0.8
4.947705138362604,0.81
4.9835849235947,0.8200000000000001
5.013430396206249,0.8300000000000001
5.041091442923036,0.8400000000000001
5.06954904729714,0.85
5.100352189334191,0.86
5.131526463977984,0.87
5.158235202389779,0.88
5.188151729603357,0.89
5.223416522869022,0.9
5.2473657188412055,0.91
5.281248678851862,0.92
5.310942881324598,0.93
5.341035167004046,0.9400000000000001
5.3679502399547605,0.9500000000000001
5.389509085559421,0.9600000000000001
5.4193510281197455,0.97
5.449801610629554,0.98
5.483834573205083,0.99
5.50730540150596,1.0
5.535356407737193,1.01
5.564148028445292,1.02
5.588124435817272,1.03
5.623199992104692,1.04
5.6512156845306905,1.05
5.675818940929474,1.06
5.700118143957481,1.07
5.728161701305657,1.08
5.759264169171331,1.09
5.7850210243456495,1.1
5.812543993070467,1.11
5.834100335946735,1.12
5.863643631064768,1.1300000000000001
5.884265555474122,1.1400000000000001
5.913028915653499,1.1500000000000001
5.9487139698060005,1.1600000000000001
5.974122363621419,1.17
5.992469882262254,1.18
6.02322745054432,1.19
6.048314621597669,1.2
6.078364426067336,1.21
6.096061199838928,1.22
6.128105534580683,1.23
6.1552018635234305,1.24
6.181613748162285,1.25
